material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Moret,0.6,1.05,no,corte_largo,489.839,-92.047
Moret,0.6,1.11,no,corte_largo,497.063,-92.017
Royal Walnut,0.214,1.11,no,corte_esquina,497.472,-92.017
Moret,0.168,1.11,no,corte_esquina,495.473,-92.017
Moret,0.136,0.471,no,corte_esquina,494.887,-88.17
Moret,0.238,1.12,no,corte_esquina,496.28,-90.9
Moret,0.6,1.194,si,completa,496.461,-81.407
Moret,0.6,1.194,si,completa,495.859,-81.407
Moret,0.6,1.194,si,completa,495.257,-81.407
Moret,0.6,1.194,si,completa,494.655,-81.407
Moret,0.6,1.194,si,completa,494.053,-81.407
Moret,0.6,1.194,si,completa,493.451,-81.407
Moret,0.6,1.194,si,completa,492.849,-81.407
Moret,0.6,1.194,si,completa,492.247,-81.407
Moret,0.6,1.194,si,completa,491.645,-81.407
Moret,0.6,1.194,si,completa,491.043,-81.407
Moret,0.6,1.194,si,completa,490.441,-81.407
Moret,0.6,1.194,si,completa,489.839,-81.407
Moret,0.6,1.194,si,completa,497.063,-81.407
Moret,0.394,1.194,no,corte_ancho,497.562,-81.407
