id,material,completa,tipo_corte,ancho_m,largo_m,x,y,cortar_de_baldosa
M-200,Moret,no,corte_largo,0.600,1.050,491.043,-92.047,M-46
M-201,Moret,no,corte_largo,0.600,1.050,491.645,-92.047,M-47
M-202,Moret,no,corte_largo,0.600,1.050,492.247,-92.047,M-48
M-203,Moret,no,corte_largo,0.600,1.050,492.849,-92.047,M-49
M-204,Moret,no,corte_largo,0.600,1.050,493.451,-92.047,M-50
M-205,Moret,si,completa,0.600,1.188,494.053,-92.116,
M-206,Moret,si,completa,0.600,1.188,494.655,-92.116,
M-207,Moret,no,corte_ancho,0.252,1.188,495.083,-92.116,M-72
M-208,Moret,no,corte_esquina,0.072,1.107,507.778,-92.777,M-53
R-001,Royal Walnut,no,corte_largo,0.200,0.417,500.052,-82.299,RW-82
R-002,Royal Walnut,no,corte_largo,0.200,0.416,500.454,-82.299,RW-84
R-003,Royal Walnut,no,corte_largo,0.200,0.416,500.856,-82.299,RW-84
R-004,Royal Walnut,no,corte_largo,0.200,0.416,501.258,-82.299,RW-85
R-005,Royal Walnut,no,corte_largo,0.200,0.416,501.66,-82.3,RW-85
R-006,Royal Walnut,no,corte_largo,0.200,0.415,502.062,-82.3,RW-86
R-007,Royal Walnut,no,corte_esquina,0.177,1.017,499.863,-82.599,RW-62
R-008,Royal Walnut,no,corte_largo,0.200,1.017,500.253,-82.599,RW-55
R-009,Royal Walnut,no,corte_largo,0.200,1.017,500.655,-82.599,RW-56
R-010,Royal Walnut,no,corte_largo,0.200,1.017,501.057,-82.6,RW-57
R-011,Royal Walnut,no,corte_largo,0.200,1.016,501.459,-82.6,RW-58
R-012,Royal Walnut,no,corte_largo,0.200,1.016,501.861,-82.6,RW-59
R-013,Royal Walnut,no,corte_largo,0.200,1.016,502.263,-82.6,RW-60
R-014,Royal Walnut,no,corte_largo,0.200,1.078,502.844,-82.63,RW-33
R-015,Royal Walnut,no,corte_largo,0.200,1.078,503.246,-82.63,RW-34
R-016,Royal Walnut,no,corte_largo,0.200,1.078,503.648,-82.63,RW-35
R-017,Royal Walnut,no,corte_largo,0.200,1.078,504.05,-82.63,RW-36
R-018,Royal Walnut,no,corte_largo,0.200,1.078,504.452,-82.63,RW-37
R-019,Royal Walnut,no,corte_largo,0.200,1.078,504.854,-82.63,RW-38
R-020,Royal Walnut,no,corte_largo,0.200,1.078,505.256,-82.63,RW-39
R-021,Royal Walnut,no,corte_largo,0.200,1.078,505.658,-82.63,RW-40
R-022,Royal Walnut,no,corte_largo,0.200,1.078,506.06,-82.63,RW-41
R-023,Royal Walnut,no,corte_largo,0.200,1.078,506.462,-82.63,RW-42
R-024,Royal Walnut,no,corte_largo,0.200,1.078,506.864,-82.63,RW-43
R-025,Royal Walnut,no,corte_largo,0.200,1.078,507.266,-82.63,RW-44
R-026,Royal Walnut,no,corte_largo,0.200,1.078,507.668,-82.63,RW-45
R-027,Royal Walnut,si,completa,0.200,1.200,500.052,-83.108,
R-028,Royal Walnut,si,completa,0.200,1.200,500.454,-83.108,
R-029,Royal Walnut,si,completa,0.200,1.200,500.856,-83.108,
R-030,Royal Walnut,si,completa,0.200,1.200,501.258,-83.108,
R-031,Royal Walnut,si,completa,0.200,1.200,501.66,-83.108,
R-032,Royal Walnut,si,completa,0.200,1.200,502.062,-83.108,
R-033,Royal Walnut,si,completa,0.200,1.200,502.464,-83.109,
R-034,Royal Walnut,si,completa,0.200,1.200,503.045,-83.169,
R-035,Royal Walnut,si,completa,0.200,1.200,503.447,-83.169,
R-036,Royal Walnut,si,completa,0.200,1.200,503.849,-83.169,
R-037,Royal Walnut,si,completa,0.200,1.200,504.251,-83.169,
R-038,Royal Walnut,si,completa,0.200,1.200,504.653,-83.169,
R-039,Royal Walnut,si,completa,0.200,1.200,505.055,-83.169,
R-040,Royal Walnut,si,completa,0.200,1.200,505.457,-83.169,
R-041,Royal Walnut,si,completa,0.200,1.200,505.859,-83.169,
R-042,Royal Walnut,si,completa,0.200,1.200,506.261,-83.169,
R-043,Royal Walnut,si,completa,0.200,1.200,506.663,-83.169,
R-044,Royal Walnut,si,completa,0.200,1.200,507.065,-83.169,
R-045,Royal Walnut,si,completa,0.200,1.200,507.467,-83.169,
R-046,Royal Walnut,no,corte_ancho,0.045,1.200,507.792,-83.169,RW-83
R-047,Royal Walnut,no,corte_ancho,0.177,1.200,499.863,-83.709,RW-46
R-048,Royal Walnut,si,completa,0.200,1.200,500.253,-83.709,
R-049,Royal Walnut,si,completa,0.200,1.200,500.655,-83.709,
R-050,Royal Walnut,si,completa,0.200,1.200,501.057,-83.709,
R-051,Royal Walnut,si,completa,0.200,1.200,501.459,-83.709,
R-052,Royal Walnut,si,completa,0.200,1.200,501.861,-83.709,
R-053,Royal Walnut,si,completa,0.200,1.200,502.263,-83.709,
R-054,Royal Walnut,si,completa,0.200,1.200,502.844,-83.77,
R-055,Royal Walnut,si,completa,0.200,1.200,503.246,-83.77,
R-056,Royal Walnut,si,completa,0.200,1.200,503.648,-83.77,
R-057,Royal Walnut,si,completa,0.200,1.200,504.05,-83.77,
R-058,Royal Walnut,si,completa,0.200,1.200,504.452,-83.77,
R-059,Royal Walnut,si,completa,0.200,1.200,504.854,-83.77,
R-060,Royal Walnut,si,completa,0.200,1.200,505.256,-83.77,
R-061,Royal Walnut,si,completa,0.200,1.200,505.658,-83.77,
R-062,Royal Walnut,si,completa,0.200,1.200,506.06,-83.77,
R-063,Royal Walnut,si,completa,0.200,1.200,506.462,-83.77,
R-064,Royal Walnut,si,completa,0.200,1.200,506.864,-83.77,
R-065,Royal Walnut,si,completa,0.200,1.200,507.266,-83.77,
R-066,Royal Walnut,si,completa,0.200,1.200,507.668,-83.77,
R-067,Royal Walnut,no,corte_esquina,0.214,1.086,497.472,-83.803,RW-32
R-068,Royal Walnut,si,completa,0.200,1.200,500.052,-84.309,
R-069,Royal Walnut,si,completa,0.200,1.200,500.454,-84.309,
R-070,Royal Walnut,si,completa,0.200,1.200,500.856,-84.309,
R-071,Royal Walnut,si,completa,0.200,1.200,501.258,-84.309,
R-072,Royal Walnut,si,completa,0.200,1.200,501.66,-84.309,
R-073,Royal Walnut,si,completa,0.200,1.200,502.062,-84.309,
R-074,Royal Walnut,si,completa,0.200,1.200,502.464,-84.31,
R-075,Royal Walnut,no,corte_largo,0.200,1.110,503.849,-84.325,RW-12
R-076,Royal Walnut,no,corte_largo,0.200,1.110,504.251,-84.325,RW-13
R-077,Royal Walnut,no,corte_largo,0.200,1.110,504.653,-84.325,RW-14
R-078,Royal Walnut,no,corte_largo,0.200,1.110,505.055,-84.325,RW-15
R-079,Royal Walnut,no,corte_largo,0.200,1.110,505.457,-84.325,RW-16
R-080,Royal Walnut,no,corte_largo,0.200,1.110,505.859,-84.325,RW-17
R-081,Royal Walnut,no,corte_largo,0.200,1.110,506.261,-84.325,RW-18
R-082,Royal Walnut,no,corte_largo,0.200,1.110,506.663,-84.325,RW-19
R-083,Royal Walnut,no,corte_largo,0.200,1.110,507.065,-84.325,RW-20
R-084,Royal Walnut,no,corte_largo,0.200,1.110,507.467,-84.325,RW-21
R-085,Royal Walnut,si,completa,0.200,1.200,503.045,-84.37,
